source,target,weight
Myung-Hwan Jang,Sang-Wook Kim,1
Jae-Geun Bang,Sang-Wook Kim,1
Sang-Wook Kim,Min-Hee Jang,1
Sang-Wook Kim,Christos Faloutsos,1
Sang-Wook Kim,U Kang,1
Sang-Wook Kim,Jiwoon Ha,1
Niels Dalum Hansen,Christina Lioma,1
Niels Dalum Hansen,Kåre Mølbak,1
Christina Lioma,Kåre Mølbak,1
Christina Lioma,Brian Brost,1
Christina Lioma,Yevgeny Seldin,1
Christina Lioma,Ingemar J. Cox,1
Christina Lioma,Casper Petersen,1
Christina Lioma,Jakob Grue Simonsen,1
Christina Lioma,Kalervo Järvelin,1
Yuki Yano,Yukihiro Tagami,1
Yuki Yano,Akira Tajima,1
Yukihiro Tagami,Akira Tajima,1
Kelsey Suyehira,Francesca Spezzano,1
Zhongfang Zhuang,Chuan Lei,1
Zhongfang Zhuang,Elke A. Rundensteiner,1
Zhongfang Zhuang,Mohamed Y. Eltabakh,1
Chuan Lei,Elke A. Rundensteiner,1
Chuan Lei,Mohamed Y. Eltabakh,1
Elke A. Rundensteiner,Mohamed Y. Eltabakh,1
Wei Wang 0064,Yue Ning,1
Wei Wang 0064,Huzefa Rangwala,1
Wei Wang 0064,Ting Hua,1
Wei Wang 0064,Xuchao Zhang,1
Wei Wang 0064,Chang-Tien Lu,1
Wei Wang 0064,Naren Ramakrishnan,2
Yue Ning,Sathappan Muthiah,1
Yue Ning,Huzefa Rangwala,2
Yue Ning,Naren Ramakrishnan,2
Huzefa Rangwala,Sathappan Muthiah,1
Huzefa Rangwala,Naren Ramakrishnan,2
Huzefa Rangwala,Azad Naik,1
Naren Ramakrishnan,Ting Hua,1
Naren Ramakrishnan,Xuchao Zhang,1
Naren Ramakrishnan,Saurav Ghosh,1
Naren Ramakrishnan,Prithwish Chakraborty,1
Naren Ramakrishnan,Emily Cohn,1
Naren Ramakrishnan,John S. Brownstein,1
Naren Ramakrishnan,Jieping Ye,1
Naren Ramakrishnan,Feng Chen 0001,1
Naren Ramakrishnan,B. Aditya Prakash,1
Naren Ramakrishnan,Sathappan Muthiah,2
Naren Ramakrishnan,Patrick Butler,1
Naren Ramakrishnan,Rupinder Paul Khandpur,1
Naren Ramakrishnan,Parang Saraf,2
Naren Ramakrishnan,Nathan Self,1
Naren Ramakrishnan,Alla Rozovskaya,1
Naren Ramakrishnan,Liang Zhao 0002,2
Naren Ramakrishnan,Jose Cadena,1
Naren Ramakrishnan,Chang-Tien Lu,3
Naren Ramakrishnan,Anil Vullikanti,1
Naren Ramakrishnan,Achla Marathe,1
Naren Ramakrishnan,Kristen Maria Summers,1
Naren Ramakrishnan,Graham Katz,1
Naren Ramakrishnan,Andy Doyle,1
Naren Ramakrishnan,Jaime Arredondo,1
Naren Ramakrishnan,Dipak K. Gupta,1
Naren Ramakrishnan,David Mares,1
Naren Ramakrishnan,Yaser Keneshloo,1
Naren Ramakrishnan,Shuguang Wang,1
Naren Ramakrishnan,Eui-Hong Sam Han,1
Zhan Li,Olga Papaemmanouil,1
Zhan Li,Mitch Cherniack,1
Olga Papaemmanouil,Mitch Cherniack,1
Sandipan Sikdar,Matteo Marsili,1
Sandipan Sikdar,Niloy Ganguly,1
Sandipan Sikdar,Animesh Mukherjee 0001,1
Matteo Marsili,Niloy Ganguly,1
Matteo Marsili,Animesh Mukherjee 0001,1
Niloy Ganguly,Animesh Mukherjee 0001,1
Niloy Ganguly,Abhijnan Chakraborty,1
Niloy Ganguly,Saptarshi Ghosh 0001,1
Niloy Ganguly,Przemyslaw A. Grabowicz,1
Niloy Ganguly,Krishna P. Gummadi,2
Niloy Ganguly,Parantapa Bhattacharya,1
Animesh Mukherjee 0001,Vladimir Ufimtsev,1
Animesh Mukherjee 0001,Soumya Sarkar,1
Animesh Mukherjee 0001,Sanjukta Bhowmick,1
Qi Zhang 0001,Yeyun Gong,1
Qi Zhang 0001,Jindou Wu,1
Qi Zhang 0001,Haoran Huang,1
Qi Zhang 0001,Jifan Chen,1
Qi Zhang 0001,Xuanjing Huang,2
Yeyun Gong,Jindou Wu,1
Yeyun Gong,Haoran Huang,1
Yeyun Gong,Xuanjing Huang,1
Jindou Wu,Haoran Huang,1
Jindou Wu,Xuanjing Huang,1
Haoran Huang,Xuanjing Huang,1
Xuanjing Huang,Jifan Chen,1
Aleksandr Chuklin,Maarten de Rijke,1
Maarten de Rijke,Zhaochun Ren,1
Maarten de Rijke,Oana Inel,1
Maarten de Rijke,Lora Aroyo,1
Maarten de Rijke,Evangelos Kanoulas,1
Maarten de Rijke,Ridho Reinanda,1
Maarten de Rijke,Edgar Meij,1
Maarten de Rijke,Yi Fang 0008,1
Maarten de Rijke,Huangming Xie,1
Maarten de Rijke,Christophe Van Gysel,2
Maarten de Rijke,Marcel Worring,1
Maarten de Rijke,Ilya Markov,1
Maarten de Rijke,Alexey Borisov,2
Maarten de Rijke,Pavel Serdyukov,2
Kan Ren,Weinan Zhang 0001,1
Kan Ren,Yifei Rong,1
Kan Ren,Haifeng Zhang 0002,1
Kan Ren,Yong Yu 0001,1
Kan Ren,Jun Wang 0012,1
Weinan Zhang 0001,Yifei Rong,1
Weinan Zhang 0001,Haifeng Zhang 0002,1
Weinan Zhang 0001,Yong Yu 0001,1
Weinan Zhang 0001,Fajie Yuan,1
Weinan Zhang 0001,Guibing Guo,1
Weinan Zhang 0001,Joemon M. Jose,1
Weinan Zhang 0001,Long Chen 0008,1
Weinan Zhang 0001,Haitao Yu 0003,1
Weinan Zhang 0001,Tianxiong Zhou,1
Weinan Zhang 0001,Jun Wang 0012,2
Weinan Zhang 0001,Jian Xu,1
Yifei Rong,Haifeng Zhang 0002,1
Yifei Rong,Yong Yu 0001,1
Yifei Rong,Jun Wang 0012,1
Haifeng Zhang 0002,Yong Yu 0001,1
Haifeng Zhang 0002,Jun Wang 0012,1
Yong Yu 0001,Jun Wang 0012,1
Yong Yu 0001,Xuezhi Cao,1
Jun Wang 0012,Tianxiong Zhou,1
Jun Wang 0012,Jian Xu,1
Shaojie Tang,Jing Yuan 0002,1
Zhaochun Ren,Oana Inel,1
Zhaochun Ren,Lora Aroyo,1
Oana Inel,Lora Aroyo,1
Elham Shaabani,Hamidreza Alvari,1
Elham Shaabani,Paulo Shakarian,1
Elham Shaabani,J. E. Kelly Snyder,1
Hamidreza Alvari,Paulo Shakarian,1
Hamidreza Alvari,J. E. Kelly Snyder,1
Paulo Shakarian,J. E. Kelly Snyder,1
Hengfeng Li,Lars Kulik,1
Hengfeng Li,Kotagiri Ramamohanarao,1
Lars Kulik,Kotagiri Ramamohanarao,1
Kotagiri Ramamohanarao,Xuyun Zhang,1
Kotagiri Ramamohanarao,Christopher Leckie,1
Kotagiri Ramamohanarao,Wanchun Dou,1
Kotagiri Ramamohanarao,Jinjun Chen,1
Kotagiri Ramamohanarao,Zoran Salcic,1
Tong Zhao 0002,Irwin King,1
Jiongqian Liang,Deepak Ajwani,1
Jiongqian Liang,Patrick K. Nicholson,1
Jiongqian Liang,Alessandra Sala,1
Jiongqian Liang,Srinivasan Parthasarathy 0001,2
Srinivasan Parthasarathy 0001,Bortik Bandyopadhyay,1
Srinivasan Parthasarathy 0001,David Fuhry,1
Srinivasan Parthasarathy 0001,Aniket Chakrabarti,1
Srinivasan Parthasarathy 0001,Deepak Ajwani,1
Srinivasan Parthasarathy 0001,Patrick K. Nicholson,1
Srinivasan Parthasarathy 0001,Alessandra Sala,1
Paris Carbone,Jonas Traub,1
Paris Carbone,Asterios Katsifodimos,1
Paris Carbone,Seif Haridi,1
Paris Carbone,Volker Markl,1
Jonas Traub,Asterios Katsifodimos,1
Jonas Traub,Seif Haridi,1
Jonas Traub,Volker Markl,1
Asterios Katsifodimos,Seif Haridi,1
Asterios Katsifodimos,Volker Markl,1
Seif Haridi,Volker Markl,1
Volker Markl,Uwe Jugel,1
Volker Markl,Zbigniew Jerzak,1
Hagit Grushka-Cohen,Oded Sofer,1
Hagit Grushka-Cohen,Ofer Biller,1
Hagit Grushka-Cohen,Bracha Shapira,1
Hagit Grushka-Cohen,Lior Rokach,1
Oded Sofer,Ofer Biller,1
Oded Sofer,Bracha Shapira,1
Oded Sofer,Lior Rokach,1
Ofer Biller,Bracha Shapira,1
Ofer Biller,Lior Rokach,1
Bracha Shapira,Ariel Bar,1
Bracha Shapira,Lior Rokach,2
Bracha Shapira,Moshe Unger,1
Lior Rokach,Ariel Bar,1
Lior Rokach,Moshe Unger,1
Feifan Fan,Yansong Feng,1
Feifan Fan,Lili Yao,1
Feifan Fan,Dongyan Zhao 0001,1
Yansong Feng,Lili Yao,1
Yansong Feng,Dongyan Zhao 0001,1
Lili Yao,Dongyan Zhao 0001,1
Yiu-ming Cheung,Jian Lou 0001,1
Chong Wang,Achir Kalra,1
Chong Wang,Cristian Borcea,1
Chong Wang,Yi Chen 0001,1
Achir Kalra,Cristian Borcea,1
Achir Kalra,Yi Chen 0001,1
Cristian Borcea,Yi Chen 0001,1
Takuya Akiba,Naoto Mizuno,1
Takuya Akiba,Takanori Hayashi 0002,1
Takuya Akiba,Ken-ichi Kawarabayashi,1
Takuya Akiba,Yosuke Yano,2
Yosuke Yano,Naoto Mizuno,1
Fuzhen Zhuang,Ping Luo 0001,1
Fuzhen Zhuang,Sinno Jialin Pan,1
Fuzhen Zhuang,Hui Xiong 0001,1
Fuzhen Zhuang,Qing He 0003,1
Fuzhen Zhuang,Chuan Shi,1
Fuzhen Zhuang,Bowei He,1
Fuzhen Zhuang,Menghao Zhang,1
Fuzhen Zhuang,Philip S. Yu,1
Fuzhen Zhuang,Naiwang Guo,1
Ping Luo 0001,Sinno Jialin Pan,1
Ping Luo 0001,Hui Xiong 0001,1
Ping Luo 0001,Su Yan,1
Ping Luo 0001,Zhiqiang Liu,1
Ping Luo 0001,Zhiyong Shen,1
Ping Luo 0001,Shengwen Yang,1
Ping Luo 0001,Qing He 0003,2
Sinno Jialin Pan,Hui Xiong 0001,1
Sinno Jialin Pan,Qing He 0003,1
Hui Xiong 0001,Qing He 0003,1
Hui Xiong 0001,Tong Xu,1
Hui Xiong 0001,Xiangyu Zhao,1
Hui Xiong 0001,Hao Zhong,1
Hui Xiong 0001,Chen Zhu,1
Hui Xiong 0001,Pengliang Ding,1
Hui Xiong 0001,Fang Xie,1
Hui Xiong 0001,Junming Liu,1
Hui Xiong 0001,Weiwei Chen 0003,1
Hui Xiong 0001,Huang Xu,1
Hui Xiong 0001,Zhiwen Yu 0001,1
Hui Xiong 0001,Yuan Zuo,1
Hui Xiong 0001,Junjie Wu 0002,1
Hui Xiong 0001,Hui Zhang 0028,1
Hui Xiong 0001,Hao Lin 0002,1
Hui Xiong 0001,Fei Wang,1
Hui Xiong 0001,Ke Xu 0001,1
Hui Xiong 0001,Bowen Du,1
Hui Xiong 0001,Wenjun Zhou 0001,1
Hui Xiong 0001,Zhenshan Hou,1
Hui Xiong 0001,Leilei Sun,2
Hui Xiong 0001,Chonghui Guo,1
Hui Xiong 0001,Yanming Xie,1
Hui Xiong 0001,Yanchi Liu,1
Hui Xiong 0001,Bin Liu 0020,1
Hui Xiong 0001,Meng Qu,1
Hui Xiong 0001,Hengshu Zhu,4
Hui Xiong 0001,Fangshuang Tang,1
Hui Xiong 0001,Qi Liu 0003,2
Hui Xiong 0001,Yong Ge,1
Hui Xiong 0001,Enhong Chen,2
Hui Xiong 0001,Yanjie Fu,1
Hui Xiong 0001,Jingyuan Yang,2
Hui Xiong 0001,Chuanren Liu,4
Hui Xiong 0001,Mingfei Teng,1
Hui Xiong 0001,March Liao,1
Qing He 0003,Su Yan,1
Qing He 0003,Zhiqiang Liu,1
Qing He 0003,Zhiyong Shen,1
Qing He 0003,Shengwen Yang,1
Kashyap Popat,Subhabrata Mukherjee,1
Kashyap Popat,Jannik Strötgen,1
Kashyap Popat,Gerhard Weikum,1
Subhabrata Mukherjee,Jannik Strötgen,1
Subhabrata Mukherjee,Stephan Günnemann,1
Subhabrata Mukherjee,Gerhard Weikum,2
Jannik Strötgen,Erdal Kuzey,1
Jannik Strötgen,Vinay Setty,1
Jannik Strötgen,Gerhard Weikum,2
Gerhard Weikum,Yusra Ibrahim,1
Gerhard Weikum,Mirek Riedewald,1
Gerhard Weikum,Stephan Seufert,1
Gerhard Weikum,Klaus Berberich,1
Gerhard Weikum,Srikanta J. Bedathur,1
Gerhard Weikum,Sarath Kumar Kondreddi,1
Gerhard Weikum,Patrick Ernst,1
Gerhard Weikum,Erdal Kuzey,1
Gerhard Weikum,Vinay Setty,1
Gerhard Weikum,Stephan Günnemann,1
Piyush Bansal,Carsten Eickhoff,1
Piyush Bansal,Thomas Hofmann,1
Carsten Eickhoff,Octavian-Eugen Ganea,1
Carsten Eickhoff,Marina Ganea,1
Carsten Eickhoff,Aurélien Lucchi,1
Carsten Eickhoff,Thomas Hofmann,2
Thomas Hofmann,Octavian-Eugen Ganea,1
Thomas Hofmann,Marina Ganea,1
Thomas Hofmann,Aurélien Lucchi,1
Tuan-Anh Hoang-Vu,Huy T. Vo,1
Tuan-Anh Hoang-Vu,Juliana Freire,1
Huy T. Vo,Denis Khryashchev,1
Huy T. Vo,Juliana Freire,2
Huy T. Vo,Cláudio T. Silva,1
Huy T. Vo,Kai Zhao,2
Huy T. Vo,Sasu Tarkoma,1
Huy T. Vo,Siyuan Liu,1
Juliana Freire,Kai Zhao,1
Juliana Freire,Denis Khryashchev,1
Juliana Freire,Cláudio T. Silva,1
Ting Hua,Xuchao Zhang,1
Ting Hua,Chang-Tien Lu,1
Xuchao Zhang,Zhiqian Chen,1
Xuchao Zhang,Weisheng Zhong,1
Xuchao Zhang,Arnold P. Boedihardjo,1
Xuchao Zhang,Chang-Tien Lu,2
Chang-Tien Lu,Jieping Ye,1
Chang-Tien Lu,Feng Chen 0001,1
Chang-Tien Lu,Sathappan Muthiah,1
Chang-Tien Lu,Patrick Butler,1
Chang-Tien Lu,Rupinder Paul Khandpur,1
Chang-Tien Lu,Parang Saraf,1
Chang-Tien Lu,Nathan Self,1
Chang-Tien Lu,Alla Rozovskaya,1
Chang-Tien Lu,Liang Zhao 0002,2
Chang-Tien Lu,Jose Cadena,1
Chang-Tien Lu,Anil Vullikanti,1
Chang-Tien Lu,Achla Marathe,1
Chang-Tien Lu,Kristen Maria Summers,1
Chang-Tien Lu,Graham Katz,1
Chang-Tien Lu,Andy Doyle,1
Chang-Tien Lu,Jaime Arredondo,1
Chang-Tien Lu,Dipak K. Gupta,1
Chang-Tien Lu,David Mares,1
Chang-Tien Lu,Zhiqian Chen,1
Chang-Tien Lu,Weisheng Zhong,1
Chang-Tien Lu,Arnold P. Boedihardjo,1
Matthew Ekstrand-Abueg,Richard McCreadie,1
Matthew Ekstrand-Abueg,Virgil Pavlu,1
Matthew Ekstrand-Abueg,Fernando Diaz 0001,1
Richard McCreadie,Virgil Pavlu,1
Richard McCreadie,Fernando Diaz 0001,1
Richard McCreadie,Saul Vargas,1
Virgil Pavlu,Fernando Diaz 0001,1
Fernando Diaz 0001,Carlos Castillo 0001,1
Fernando Diaz 0001,Yu-Ru Lin,1
Fernando Diaz 0001,Jie Yin,1
Pengfei Li,Mark Sanderson,1
Pengfei Li,Mark James Carman,1
Pengfei Li,Falk Scholer,1
Mark Sanderson,Mark James Carman,1
Mark Sanderson,Falk Scholer,1
Mark James Carman,Falk Scholer,1
Mark James Carman,Ramakrishna B. Bairi,1
Mark James Carman,Ganesh Ramakrishnan,1
Mark James Carman,Kai Ming Ting,1
Mark James Carman,Ye Zhu,1
Mark James Carman,Yue Zhu,1
Mark James Carman,Zhi-Hua Zhou,1
Henry S. Vieira,Altigran Soares da Silva,1
Henry S. Vieira,Pável Calado,1
Henry S. Vieira,Marco Cristo,1
Henry S. Vieira,Edleno Silva de Moura,1
Altigran Soares da Silva,Pável Calado,1
Altigran Soares da Silva,Marco Cristo,1
Altigran Soares da Silva,Edleno Silva de Moura,1
Pável Calado,Marco Cristo,1
Pável Calado,Edleno Silva de Moura,1
Marco Cristo,Edleno Silva de Moura,1
Marco Cristo,Raíza Hanada,1
Marco Cristo,Maria da Graça Campos Pimentel,1
